Membership No  Date Joined  Active  
    61893      2016-12-20   yes   
    27810      2019-12-13   yes   
    33208      2019-6-22    no    
    62751      2017-10-10   yes   
    28141      2020-11-11   yes   
    42480      2019-1-21    no    
    78276      2018-1-8     no    
    70248      2017-11-24   no    
    55529      2018-9-25    no    
    56693      2020-8-11    no    
    36278      2019-7-25    no    
    26356      2018-12-10   no    
    87804      2018-12-18   yes   
    97856      2019-8-25    no    
    95809      2018-5-16    no    
    15022      2016-12-7    yes   
    98520      2015-5-22    yes   
    81008      2015-9-4     yes   
    76335      2020-12-11   yes   
    70472      2018-2-1     yes   
